"","ic","method","pval","null_l","tmt_l","unknown_param","other_mechanical_param","prescribed_fire_param","wildfire_param","thinning_param","herbicide_param","clearcut_param","wildland_fire_param","mastication_param","all_converge","valid_subset","failed_converge_names"
"79","3,0.7,1,7e-04","BFGS",0,-71512.8184391626,-86106.1724566625,"3.2972057083422,0.948860137473922,0.631858345693164,0.0488478335063467","2.83731200030417,1.01194372238383,0.433564689509804,0.0931042619076387","4.37118555888596,0.972661473189133,0.707009310175648,0.0543460375911711","2.57867889929161,0.987786121865688,0.596598980754052,0.0361550408527249","3.4834182860025,0.94136835909642,0.770480337350061,0.0252101368104298","2.41024772236838,0.935951188381301,0.404050526432418,0.0879789718092327","2.18583867929649,0.986661092866958,0.553520219256114,0.0191088151587423","2.6847936758889,0.973880726341452,0.639482672084511,0.0338799139082782","1.84718236371405,0.690927959331062,0.579177872265968,0.0675518360250477",TRUE,TRUE,""
"80","3,0.7,1,7e-04","BFGS",0,-71829.6370804798,-86106.1724566625,"3.2972057083422,0.948860137473922,0.631858345693164,0.0488478335063467","2.83731200030417,1.01194372238383,0.433564689509804,0.0931042619076387","4.37118555888596,0.972661473189133,0.707009310175648,0.0543460375911711","2.57867889929161,0.987786121865688,0.596598980754052,0.0361550408527249","3.4834182860025,0.94136835909642,0.770480337350061,0.0252101368104298","2.41024772236838,0.935951188381301,0.404050526432418,0.0879789718092327","2.18583867929649,0.986661092866958,0.553520219256114,0.0191088151587423","2.6847936758889,0.973880726341452,0.639482672084511,0.0338799139082782","1.84718236371405,0.690927959331062,0.579177872265968,0.0675518360250477",TRUE,TRUE,""
"81","3,0.7,1,7e-04","BFGS",0,-71562.7020218135,-86106.1724566625,"3.2972057083422,0.948860137473922,0.631858345693164,0.0488478335063467","2.83731200030417,1.01194372238383,0.433564689509804,0.0931042619076387","4.37118555888596,0.972661473189133,0.707009310175648,0.0543460375911711","2.57867889929161,0.987786121865688,0.596598980754052,0.0361550408527249","3.4834182860025,0.94136835909642,0.770480337350061,0.0252101368104298","2.41024772236838,0.935951188381301,0.404050526432418,0.0879789718092327","2.18583867929649,0.986661092866958,0.553520219256114,0.0191088151587423","2.6847936758889,0.973880726341452,0.639482672084511,0.0338799139082782","1.84718236371405,0.690927959331062,0.579177872265968,0.0675518360250477",TRUE,TRUE,""
"82","3,0.7,1,7e-04","BFGS",0,-71823.7402612034,-86106.1724566625,"3.2972057083422,0.948860137473922,0.631858345693164,0.0488478335063467","2.83731200030417,1.01194372238383,0.433564689509804,0.0931042619076387","4.37118555888596,0.972661473189133,0.707009310175648,0.0543460375911711","2.57867889929161,0.987786121865688,0.596598980754052,0.0361550408527249","3.4834182860025,0.94136835909642,0.770480337350061,0.0252101368104298","2.41024772236838,0.935951188381301,0.404050526432418,0.0879789718092327","2.18583867929649,0.986661092866958,0.553520219256114,0.0191088151587423","2.6847936758889,0.973880726341452,0.639482672084511,0.0338799139082782","1.84718236371405,0.690927959331062,0.579177872265968,0.0675518360250477",TRUE,TRUE,""
"83","3,0.7,1,7e-04","BFGS",0,-62182.4379342165,-86106.1724566625,"3.2972057083422,0.948860137473922,0.631858345693164,0.0488478335063467","2.83731200030417,1.01194372238383,0.433564689509804,0.0931042619076387","4.37118555888596,0.972661473189133,0.707009310175648,0.0543460375911711","2.57867889929161,0.987786121865688,0.596598980754052,0.0361550408527249","3.4834182860025,0.94136835909642,0.770480337350061,0.0252101368104298","2.41024772236838,0.935951188381301,0.404050526432418,0.0879789718092327","2.18583867929649,0.986661092866958,0.553520219256114,0.0191088151587423","2.6847936758889,0.973880726341452,0.639482672084511,0.0338799139082782","1.84718236371405,0.690927959331062,0.579177872265968,0.0675518360250477",TRUE,TRUE,""
"84","3,0.7,1,7e-04","BFGS",0,2000,-86106.1724566625,"3.2972057083422,0.948860137473922,0.631858345693164,0.0488478335063467","2.83731200030417,1.01194372238383,0.433564689509804,0.0931042619076387","4.37118555888596,0.972661473189133,0.707009310175648,0.0543460375911711","2.57867889929161,0.987786121865688,0.596598980754052,0.0361550408527249","3.4834182860025,0.94136835909642,0.770480337350061,0.0252101368104298","2.41024772236838,0.935951188381301,0.404050526432418,0.0879789718092327","2.18583867929649,0.986661092866958,0.553520219256114,0.0191088151587423","2.6847936758889,0.973880726341452,0.639482672084511,0.0338799139082782","1.84718236371405,0.690927959331062,0.579177872265968,0.0675518360250477",TRUE,TRUE,""
"85","2.5,0.8,0.9,0.001","BFGS",0,-67320.2793034479,-86106.1724566625,"3.2972057083422,0.948860137473922,0.631858345693164,0.0488478335063467","2.83731200030417,1.01194372238383,0.433564689509804,0.0931042619076387","4.37118555888596,0.972661473189133,0.707009310175648,0.0543460375911711","2.57867889929161,0.987786121865688,0.596598980754052,0.0361550408527249","3.4834182860025,0.94136835909642,0.770480337350061,0.0252101368104298","2.41024772236838,0.935951188381301,0.404050526432418,0.0879789718092327","2.18583867929649,0.986661092866958,0.553520219256114,0.0191088151587423","2.6847936758889,0.973880726341452,0.639482672084511,0.0338799139082782","1.84718236371405,0.690927959331062,0.579177872265968,0.0675518360250477",TRUE,TRUE,""
"86","2.5,0.8,0.9,0.001","BFGS",0,-71512.8184391626,-86106.1724566625,"3.2972057083422,0.948860137473922,0.631858345693164,0.0488478335063467","2.83731200030417,1.01194372238383,0.433564689509804,0.0931042619076387","4.37118555888596,0.972661473189133,0.707009310175648,0.0543460375911711","2.57867889929161,0.987786121865688,0.596598980754052,0.0361550408527249","3.4834182860025,0.94136835909642,0.770480337350061,0.0252101368104298","2.41024772236838,0.935951188381301,0.404050526432418,0.0879789718092327","2.18583867929649,0.986661092866958,0.553520219256114,0.0191088151587423","2.6847936758889,0.973880726341452,0.639482672084511,0.0338799139082782","1.84718236371405,0.690927959331062,0.579177872265968,0.0675518360250477",TRUE,TRUE,""
"87","2.5,0.8,0.9,0.001","BFGS",0,-71829.6370804798,-86106.1724566625,"3.2972057083422,0.948860137473922,0.631858345693164,0.0488478335063467","2.83731200030417,1.01194372238383,0.433564689509804,0.0931042619076387","4.37118555888596,0.972661473189133,0.707009310175648,0.0543460375911711","2.57867889929161,0.987786121865688,0.596598980754052,0.0361550408527249","3.4834182860025,0.94136835909642,0.770480337350061,0.0252101368104298","2.41024772236838,0.935951188381301,0.404050526432418,0.0879789718092327","2.18583867929649,0.986661092866958,0.553520219256114,0.0191088151587423","2.6847936758889,0.973880726341452,0.639482672084511,0.0338799139082782","1.84718236371405,0.690927959331062,0.579177872265968,0.0675518360250477",TRUE,TRUE,""
"88","2.5,0.8,0.9,0.001","BFGS",0,-71562.7020218135,-86106.1724566625,"3.2972057083422,0.948860137473922,0.631858345693164,0.0488478335063467","2.83731200030417,1.01194372238383,0.433564689509804,0.0931042619076387","4.37118555888596,0.972661473189133,0.707009310175648,0.0543460375911711","2.57867889929161,0.987786121865688,0.596598980754052,0.0361550408527249","3.4834182860025,0.94136835909642,0.770480337350061,0.0252101368104298","2.41024772236838,0.935951188381301,0.404050526432418,0.0879789718092327","2.18583867929649,0.986661092866958,0.553520219256114,0.0191088151587423","2.6847936758889,0.973880726341452,0.639482672084511,0.0338799139082782","1.84718236371405,0.690927959331062,0.579177872265968,0.0675518360250477",TRUE,TRUE,""
"89","2.5,0.8,0.9,0.001","BFGS",0,-71823.7402612034,-86106.1724566625,"3.2972057083422,0.948860137473922,0.631858345693164,0.0488478335063467","2.83731200030417,1.01194372238383,0.433564689509804,0.0931042619076387","4.37118555888596,0.972661473189133,0.707009310175648,0.0543460375911711","2.57867889929161,0.987786121865688,0.596598980754052,0.0361550408527249","3.4834182860025,0.94136835909642,0.770480337350061,0.0252101368104298","2.41024772236838,0.935951188381301,0.404050526432418,0.0879789718092327","2.18583867929649,0.986661092866958,0.553520219256114,0.0191088151587423","2.6847936758889,0.973880726341452,0.639482672084511,0.0338799139082782","1.84718236371405,0.690927959331062,0.579177872265968,0.0675518360250477",TRUE,TRUE,""
"90","2.5,0.8,0.9,0.001","BFGS",0,-62182.4379342165,-86106.1724566625,"3.2972057083422,0.948860137473922,0.631858345693164,0.0488478335063467","2.83731200030417,1.01194372238383,0.433564689509804,0.0931042619076387","4.37118555888596,0.972661473189133,0.707009310175648,0.0543460375911711","2.57867889929161,0.987786121865688,0.596598980754052,0.0361550408527249","3.4834182860025,0.94136835909642,0.770480337350061,0.0252101368104298","2.41024772236838,0.935951188381301,0.404050526432418,0.0879789718092327","2.18583867929649,0.986661092866958,0.553520219256114,0.0191088151587423","2.6847936758889,0.973880726341452,0.639482672084511,0.0338799139082782","1.84718236371405,0.690927959331062,0.579177872265968,0.0675518360250477",TRUE,TRUE,""
"91","2.5,0.8,0.9,0.001","BFGS",0,2000,-86106.1724566625,"3.2972057083422,0.948860137473922,0.631858345693164,0.0488478335063467","2.83731200030417,1.01194372238383,0.433564689509804,0.0931042619076387","4.37118555888596,0.972661473189133,0.707009310175648,0.0543460375911711","2.57867889929161,0.987786121865688,0.596598980754052,0.0361550408527249","3.4834182860025,0.94136835909642,0.770480337350061,0.0252101368104298","2.41024772236838,0.935951188381301,0.404050526432418,0.0879789718092327","2.18583867929649,0.986661092866958,0.553520219256114,0.0191088151587423","2.6847936758889,0.973880726341452,0.639482672084511,0.0338799139082782","1.84718236371405,0.690927959331062,0.579177872265968,0.0675518360250477",TRUE,TRUE,""
"92","4,0.5,0.8,9e-04","BFGS",0,-67320.2793034479,-86106.1724566625,"3.2972057083422,0.948860137473922,0.631858345693164,0.0488478335063467","2.83731200030417,1.01194372238383,0.433564689509804,0.0931042619076387","4.37118555888596,0.972661473189133,0.707009310175648,0.0543460375911711","2.57867889929161,0.987786121865688,0.596598980754052,0.0361550408527249","3.4834182860025,0.94136835909642,0.770480337350061,0.0252101368104298","2.41024772236838,0.935951188381301,0.404050526432418,0.0879789718092327","2.18583867929649,0.986661092866958,0.553520219256114,0.0191088151587423","2.6847936758889,0.973880726341452,0.639482672084511,0.0338799139082782","1.84718236371405,0.690927959331062,0.579177872265968,0.0675518360250477",TRUE,TRUE,""
"93","4,0.5,0.8,9e-04","BFGS",0,-71512.8184391626,-86106.1724566625,"3.2972057083422,0.948860137473922,0.631858345693164,0.0488478335063467","2.83731200030417,1.01194372238383,0.433564689509804,0.0931042619076387","4.37118555888596,0.972661473189133,0.707009310175648,0.0543460375911711","2.57867889929161,0.987786121865688,0.596598980754052,0.0361550408527249","3.4834182860025,0.94136835909642,0.770480337350061,0.0252101368104298","2.41024772236838,0.935951188381301,0.404050526432418,0.0879789718092327","2.18583867929649,0.986661092866958,0.553520219256114,0.0191088151587423","2.6847936758889,0.973880726341452,0.639482672084511,0.0338799139082782","1.84718236371405,0.690927959331062,0.579177872265968,0.0675518360250477",TRUE,TRUE,""
"94","4,0.5,0.8,9e-04","BFGS",0,-71829.6370804798,-86106.1724566625,"3.2972057083422,0.948860137473922,0.631858345693164,0.0488478335063467","2.83731200030417,1.01194372238383,0.433564689509804,0.0931042619076387","4.37118555888596,0.972661473189133,0.707009310175648,0.0543460375911711","2.57867889929161,0.987786121865688,0.596598980754052,0.0361550408527249","3.4834182860025,0.94136835909642,0.770480337350061,0.0252101368104298","2.41024772236838,0.935951188381301,0.404050526432418,0.0879789718092327","2.18583867929649,0.986661092866958,0.553520219256114,0.0191088151587423","2.6847936758889,0.973880726341452,0.639482672084511,0.0338799139082782","1.84718236371405,0.690927959331062,0.579177872265968,0.0675518360250477",TRUE,TRUE,""
"95","4,0.5,0.8,9e-04","BFGS",0,-71562.7020218135,-86106.1724566625,"3.2972057083422,0.948860137473922,0.631858345693164,0.0488478335063467","2.83731200030417,1.01194372238383,0.433564689509804,0.0931042619076387","4.37118555888596,0.972661473189133,0.707009310175648,0.0543460375911711","2.57867889929161,0.987786121865688,0.596598980754052,0.0361550408527249","3.4834182860025,0.94136835909642,0.770480337350061,0.0252101368104298","2.41024772236838,0.935951188381301,0.404050526432418,0.0879789718092327","2.18583867929649,0.986661092866958,0.553520219256114,0.0191088151587423","2.6847936758889,0.973880726341452,0.639482672084511,0.0338799139082782","1.84718236371405,0.690927959331062,0.579177872265968,0.0675518360250477",TRUE,TRUE,""
