"clno","sizw","ids","dist_name","ratio"
"324",324,18,"1103 1102 1101","Unknown",0.527777777777778
"325",325,196,"1101 1103 1102","Unknown",0.86734693877551
"326",326,1,"1102","Unknown",0
"327",327,357,"951 451","Mastication",0.887955182072829
"328",328,59,"1103 1102 1101","Unknown",0.745762711864407
"329",329,217,"1101 1102 1103","Unknown",0.877880184331797
"330",330,3,"1101","Unknown",0.333333333333333
"331",331,1,"1102","Unknown",0
"332",332,1,"1101","Unknown",0
"333",333,2,"1101","Unknown",0.25
"334",334,8,"1101 1103 1102","Unknown",0.5
"335",335,1,"1103","Unknown",0
"336",336,41,"1101 1102 1103","Unknown",0.682926829268293
"337",337,645,"1103 1101 1102","Unknown",0.921705426356589
"338",338,10,"1103 1101 1102","Unknown",0.6
"339",339,135,"1101 1102 1103","Unknown",0.866666666666667
"340",340,25,"1102 1103 1101","Unknown",0.76
"341",341,28,"1101 1103 1102","Unknown",0.625
"342",342,85,"1101 1103 1102","Unknown",0.8
"343",343,2,"1103","Unknown",0.25
"344",344,2,"1102","Unknown",0.25
"345",345,60,"1102 1103 1101","Unknown",0.8
"346",346,351,"1103 1101 1102","Unknown",0.873219373219373
"347",347,2,"1101","Unknown",0.25
"348",348,36,"1101 1103 1102","Unknown",0.763888888888889
"349",349,3,"1101 1102","Unknown",0.333333333333333
"350",350,124,"701 1103 1101 1102","Unknown",0.782258064516129
"351",351,3,"1101 1102 1103","Unknown",0.333333333333333
"352",352,14,"1103 1102 1101","Unknown",0.535714285714286
"353",353,3,"1103","Unknown",0.333333333333333
"354",354,1,"1102","Unknown",0
"355",355,1,"1102","Unknown",0
"356",356,1,"1101","Unknown",0
"357",357,53,"1101 1103 1102","Unknown",0.830188679245283
"358",358,5,"1103 1101","Unknown",0.4
"359",359,1,"1101","Unknown",0
"360",360,41,"1101 1103 1102","Unknown",0.719512195121951
"361",361,380,"1102 1101 1103","Unknown",0.864473684210526
"362",362,30,"1102 1103 1101","Unknown",0.75
